,steamid,name,kdr,accuracy,htk,shotsfired
0,76561197960284752,brax,0.9,17,3.4,13412338
1,76561197960290668,natu,1.0,16,3.7,4613161
2,76561197960356678,crtmN,0.8,15,3.6,114880
3,76561197961021014,n0thing,0.9,15,3.4,5150645
4,76561197961649142,lottinw-,4.1,26,2.2,1062914
5,76561197962959954,prawus,0.9,16,3.4,3084035
6,76561197964764549,rdl-- ;E,1.0,15,3.1,1838061
7,76561197965743043,blackpoisoN,1.5,19,2.7,5334296
8,76561197967824412,analizator[J]/>,1.6,18,3.0,1068571
9,76561197971921081,PENGUIN,0.9,17,3.7,1497307
10,76561197972985852,CeKTaHT,0.9,20,3.5,8237805
11,76561197977105184,Ned Kelly,1.2,17,3.3,7510295
12,76561197977831282,LENZ,0.9,16,3.7,839138
13,76561197988539104,chrisJ,0.9,18,2.7,7034972
14,76561197988628603,Fredsmager,1.0,17,3.8,5551773
15,76561197989620454,minise^,1.1,15,2.6,7391995
16,76561197990182479,THORO/>,1.5,18,3.3,2303260
17,76561197990978673,duvet,1.2,16,2.8,4281419
18,76561197991787114,Dufe,1.2,17,2.8,1761842
19,76561197993618075,slop3,0.8,17,3.4,1453154
20,76561197993762868,piwosh,1.2,15,3.0,1278136
21,76561197993995860,flasha,0.9,18,3.6,6550702
22,76561197995658520,The Divine Master Of The Unknown,1.1,18,2.9,8522519
23,76561197997382660,574M,0.9,14,3.7,3319944
24,76561197999449147,KrieppeN,1.3,18,2.8,2290268
25,76561198000433717,LAJT,1.0,14,3.0,2829925
26,76561198001190139,insidzior,1.0,16,3.6,8016288
27,76561198001694432,LoCo-,1.0,16,3.2,5676523
28,76561198002708642,jod,1.3,15,2.8,7919728
29,76561198003846563,azizzbeast,1.1,15,2.9,5184007
30,76561198005912368,T 0 N a_,0.8,15,3.5,3998194
31,76561198013603966,starix,0.9,18,3.6,6941405
32,76561198017578295,pyth =DD,1.2,15,2.7,7914056
33,76561198018008308,AWPimp - Twitch.tv/PimpCSGO,1.3,19,3.2,8759283
34,76561198018027263,Velho Ditado,1.1,17,2.8,3709800
35,76561198020637503,nEiLZiNHo,1.0,15,3.8,4895743
36,76561198025753577,AlenB,1.1,16,3.4,2202020
37,76561198033141686,aurorayaaay,0.7,16,3.6,4106246
38,76561198037812456,ddddddddddd,1.1,14,2.6,8716716
39,76561198040548103,twitch.tv/sandrraa,1.0,13,3.7,2274436
40,76561198041416993,dychakoko22 o_O,1.5,17,2.8,6640683
41,76561198050635151,Vegi,1.2,17,3.2,4355662
42,76561198053948648,vero,0.8,17,3.5,2567084
43,76561198083485506,woxic,1.1,16,2.7,4253099
44,76561198121694867,flip/A/,1.1,16,3.2,3791040
45,76561198141322212,RT,1.4,18,2.9,3091464
46,76561198155055663,dream3<R>,1.2,19,3.6,6068876
47,76561198156369374,SPELLAN)),0.8,17,3.8,9204989
48,76561198164402219,Highend,1.0,17,3.4,5935265
49,76561198187650769,AiVeNoo,1.0,18,3.8,1215299
50,76561198215214621,shipz[:> VBet.com,0.9,21,3.2,260567
51,76561198215449844,paTiTekhe_he ;)),1.1,16,3.0,4397611
52,76561197960269994,Secret Agent,1.1,16,3.4,3601091
53,76561197960486593,nekfeu,1.3,16,3.1,7425999
54,76561197960499780,TasmanianDevil,1.0,18,2.8,14852880
55,76561197960677505,arya,1.0,15,3.2,3586561
56,76561197960968055,tenz,1.3,17,2.8,4671677
57,76561197961021014,n0thing,0.9,15,3.4,5150645
58,76561197964426959,minet [inactive 2 weeks],1.2,2,1.7,891859
59,76561197965743043,blackpoisoN,1.5,19,2.7,5334296
60,76561197967516987,Cooper,1.0,22,3.4,6190069
61,76561197968852385,ddddd,1.0,16,3.0,4609894
62,76561197968931634,iNEB,0.9,17,3.4,3536692
63,76561197969960392,gobbaghouL,1.0,14,3.1,8118201
64,76561197970838518,Relyks,1.0,19,2.9,6033967
65,76561197971316261,horvYW0w,1.2,18,3.1,5492203
66,76561197971921081,PENGUIN,0.9,17,3.7,1497307
67,76561197973729316,buskey,1.4,18,3.1,2980389
68,76561197973733779,colo,1.4,15,2.4,2202816
69,76561197975308947,a2z,1.1,17,3.6,9691810
70,76561197977105184,Ned Kelly,1.2,17,3.3,7510295
71,76561197978481975,t4r1k,1.1,17,3.1,5948702
72,76561197981341453,pancake,1.7,23,2.5,4500091
73,76561197983031494,felps,1.3,17,3.6,10365908
74,76561197983822687,SicK,1.4,19,3.4,8432121
75,76561197984821711,hofven,1.1,15,3.5,859249
76,76561197989203490,SileNt^v^,1.0,16,3.2,6786597
77,76561197990491134,WARDELL.0608,1.1,18,2.6,4873238
78,76561197994000476,choNg,1.0,14,3.5,2781363
79,76561198006229986,sfX -x1-,1.0,19,2.6,1915077
80,76561198007303542,attackattack!,1.1,21,2.8,2979592
81,76561198008092757,JennyCupcakes,0.9,16,2.2,1568925
82,76561198012625649,KP (Trade commends?),1.7,16,3.3,3107811
83,76561198013455553,lil muffin,0.7,20,4.3,639561
84,76561198016216494,.>_>mi,1.3,17,3.1,1822519
85,76561198017015164,AcilioN,1.0,22,3.8,226797
86,76561198017578295,pyth =DD,1.2,15,2.7,7914056
87,76561198018008308,AWPimp - Twitch.tv/PimpCSGO,1.3,19,3.2,8759283
88,76561198018027263,Velho Ditado,1.1,17,2.8,3709800
89,76561198018958310,:v,1.1,16,2.7,5823024
90,76561198025086914,neptune,0.9,19,2.7,3418850
91,76561198027870414,pbf1 latampl.pro,0.9,16,3.1,2802891
92,76561198033141686,aurorayaaay,0.7,16,3.6,4106246
93,76561198035292095,wit,1.0,19,3.0,7222949
94,76561198042462102,KHTEXy,1.2,16,3.5,7612639
95,76561198047129384,Voltage,1.2,17,3.0,3964758
96,76561198054861139,Brehze,1.2,18,3.3,9066328
97,76561198054870849,curly fries,1.0,18,3.3,6732270
98,76561198055524178,allo_,1.0,19,4.0,696142
99,76561198067763828,chelo M,1.3,18,3.1,4978282
100,76561198072264947,Subroza,0.9,16,3.4,8174216
101,76561198079604831,daprrr,1.0,15,3.4,7131664
102,76561198083485506,woxic,1.1,16,2.7,4253099
103,76561198093129073,m1cks,0.9,18,3.7,1619015
104,76561198098421988,obo,1.1,16,2.8,1582010
105,76561198105454452,woods,1.1,20,3.7,740741
106,76561198106441981,space,0.9,15,3.2,2974075
107,76561198109759225,Infinite,1.0,17,3.7,12449439
108,76561198118747221,Machinegun ^^,1.2,15,3.0,4311227
109,76561198119098292,CRUC1AL,1.2,18,2.5,3343395
110,76561198119732619,JL,0.5,14,4.6,261947
111,76561198128505963,JMaldo,1.4,18,3.3,2108162
112,76561198136484046,Akke,1.2,15,3.6,1905427
113,76561198140790159,xCeeD,1.1,24,3.5,847991
114,76561198144343189,nat,0.9,16,3.0,1546958
115,76561198147117974,Zellsis,1.1,18,2.6,5235727
116,76561198155374184,iria,1.1,20,0.3,4982551
117,76561198162761208,chun,0.7,19,4.2,3181964
118,76561198247554160,s0m\_^.^,1.1,15,2.7,3187097
119,76561198263581896,twitch.tv/cavern,0.9,19,3.2,5563671
120,76561198282183407,aisaka:v,1.3,16,2.6,2828421
121,76561198306519263,floppie,1.1,19,3.5,4868003
122,76561197960268122,JZFBEAST,0.7,18,3.5,4012875
123,76561197960316279,Nameless,1.4,18,2.7,1724331
124,76561197960330897,S U P R E M E -_-,1.1,18,2.6,2717965
